1346,4115,2025
IDENTICAL,REFACTORED_MOVE,REFACTORED_RENAME,REFACTORED_INLINE,REFACTORED_EXTRACT,REFACTORED_ARGUMENTS_RENAME,REFACTORED_ARGUMENTS_REORDER,ARGUMENTS_CHANGE_ADD,ARGUMENTS_CHANGE_REMOVE,ARGUMENTS_CHANGE_TYPE_CHANGE,BODY_CHANGE_ONLY,NOT_FOUND
647,0,1,0,4,0,0,2,0,0,43,6,703
1,0,0,0,0,0,0,0,0,0,0,0,1
13,0,0,0,0,0,0,0,0,0,1,0,14
0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1,0,0,4,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1
11,0,0,0,0,0,0,1,0,0,3,0,15
12,0,0,0,0,0,0,0,0,0,1,0,13
4,0,0,0,0,0,0,0,0,0,0,0,4
157,0,0,0,2,0,0,1,0,0,70,3,233
304,0,0,0,1,0,0,1,0,1,45,0,352
New methods in new AOSP,New methods in proprietary,New methods in both
3121,689,0(1)
