636,882,781
IDENTICAL,REFACTORED_MOVE,REFACTORED_RENAME,REFACTORED_INLINE,REFACTORED_EXTRACT,REFACTORED_ARGUMENTS_RENAME,REFACTORED_ARGUMENTS_REORDER,ARGUMENTS_CHANGE_ADD,ARGUMENTS_CHANGE_REMOVE,ARGUMENTS_CHANGE_TYPE_CHANGE,BODY_CHANGE_ONLY,NOT_FOUND
412,0,0,0,0,0,0,0,0,0,0,0,412
1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1(5),0,0,0,0,0,0,0,1,0,3
0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,2(5),0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,31(62),1,93
11,0,0,0,0,0,0,0,0,0,2,37,50
New methods in new AOSP,New methods in proprietary,New methods in both
296,183,33(144)
