2199,1811,2208
IDENTICAL,REFACTORED_MOVE,REFACTORED_RENAME,REFACTORED_INLINE,REFACTORED_EXTRACT,REFACTORED_ARGUMENTS_RENAME,REFACTORED_ARGUMENTS_REORDER,ARGUMENTS_CHANGE_ADD,ARGUMENTS_CHANGE_REMOVE,ARGUMENTS_CHANGE_TYPE_CHANGE,BODY_CHANGE_ONLY,NOT_FOUND
1673,0,0,0,0,0,0,0,0,0,5,0,1678
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0(4),0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0(14),0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1
79,0,0,0,0,0,0,0,0,0,7(9),0,86
399,0,0,0,0,0,0,0,0,0,2,3,404
New methods in new AOSP,New methods in proprietary,New methods in both
22,20,0(13)
