4213,1466,4245
IDENTICAL,REFACTORED_MOVE,REFACTORED_RENAME,REFACTORED_INLINE,REFACTORED_EXTRACT,REFACTORED_ARGUMENTS_RENAME,REFACTORED_ARGUMENTS_REORDER,ARGUMENTS_CHANGE_ADD,ARGUMENTS_CHANGE_REMOVE,ARGUMENTS_CHANGE_TYPE_CHANGE,BODY_CHANGE_ONLY,NOT_FOUND
618,0,0,0,0,0,0,0,0,0,6,0,624
0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,7
7,0,0,0,0,0,0,0,0,0,0,0,7
4,0,0,0,0,0,0,0,0,0,0,0,4
11,0,0,0,0,0,0,0,0,0,0,0,11
22,0,0,0,0,0,0,1,0,0,2,0,25
5,0,0,0,0,0,0,0,0,0,1,0,6
325,0,0,0,1,0,0,0,0,0,25(1),0,351
3106,0,0,0,1,0,0,8,0,0,57,1,3173
New methods in new AOSP,New methods in proprietary,New methods in both
426,35,0(0)
