6585,5675,6714
IDENTICAL,REFACTORED_MOVE,REFACTORED_RENAME,REFACTORED_INLINE,REFACTORED_EXTRACT,REFACTORED_ARGUMENTS_RENAME,REFACTORED_ARGUMENTS_REORDER,ARGUMENTS_CHANGE_ADD,ARGUMENTS_CHANGE_REMOVE,ARGUMENTS_CHANGE_TYPE_CHANGE,BODY_CHANGE_ONLY,NOT_FOUND
4012,0,0,0,0,0,0,0,0,0,50,8,4070
8,0,0,0,0,0,0,0,0,0,0,0,8
19,0,0,0,0,0,0,0,0,0,0,0,19
1,0,0,0,0,0,0,0,0,0,0,0,1
15,0,0,0,0,0,0,0,0,0,0,0,15
1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,19
2,0,0,0,0,0,0,0,0,0,0,0,2
4,0,0,0,0,0,0,0,0,0,0,0,4
285,0,0,0,0,0,0,1,0,0,12,0,298
1995,0,0,0,0,1,0,3,3,0,141,5,2148
New methods in new AOSP,New methods in proprietary,New methods in both
1247,151,0(4)
