507,629,517
IDENTICAL,REFACTORED_MOVE,REFACTORED_RENAME,REFACTORED_INLINE,REFACTORED_EXTRACT,REFACTORED_ARGUMENTS_RENAME,REFACTORED_ARGUMENTS_REORDER,ARGUMENTS_CHANGE_ADD,ARGUMENTS_CHANGE_REMOVE,ARGUMENTS_CHANGE_TYPE_CHANGE,BODY_CHANGE_ONLY,NOT_FOUND
303,0,0,0,0,0,0,0,0,0,1,0,304
0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,12
3,0,0,0,0,0,0,0,0,0,0,0,3
7,0,0,0,0,0,0,0,0,0,0,0,7
2,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,3
3,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,6,0,88
85,0,0,0,0,0,0,0,0,0,0,0,85
New methods in new AOSP,New methods in proprietary,New methods in both
208,10,0(9)
