3193,1531,3301
IDENTICAL,REFACTORED_MOVE,REFACTORED_RENAME,REFACTORED_INLINE,REFACTORED_EXTRACT,REFACTORED_ARGUMENTS_RENAME,REFACTORED_ARGUMENTS_REORDER,ARGUMENTS_CHANGE_ADD,ARGUMENTS_CHANGE_REMOVE,ARGUMENTS_CHANGE_TYPE_CHANGE,BODY_CHANGE_ONLY,NOT_FOUND
1097,0,0,0,2,0,0,6,1,0,71,3,1180
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,1,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0,1,0,4
5,0,0,0,1,0,0,0,0,0,1,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,1,0,0,29(3),2,113
1872,0,0,0,2,0,0,0,0,0,7,1,1882
New methods in new AOSP,New methods in proprietary,New methods in both
221,115,0(2)
